index,match_id,winner_id,winner_name,loser_id,loser_name,win_type,submission,winner_points,loser_points,adv_pen,weight_class,sex,stage,year,event_id,winner_elo_start,loser_elo_start,winner_elo_end,loser_elo_end
993,337,627,Murilo Bustamante,278,Ricardo Almeida,POINTS,,2,0,,99KG,M,4F,1999,42,960.64,1000.0,985.12,975.52
825,312,515,Royler Gracie,-1,Melchor M.,POINTS,,12,0,,66KG,M,SF,1999,43,1075.4,1000.0,1094.27,981.13
573,362,6167,Ricco Rodriguez,-1,Kim Mason,POINTS,,-1,-1,,ABS,M,R1,1999,44,1066.14,1000.0,1082.38,983.76
836,338,481,Saulo Ribeiro,-1,Vernon White,POINTS,,16,0,,99KG,M,4F,1999,45,1022.86,1000.0,1043.41,979.45
795,331,1204,Roberto Traven,-1,Jurie Rachel,SUB,Submission,-1,-1,,99KG,M,R1,1999,46,1064.57,1000.0,1083.34,981.23
785,330,1817,Rigan Machado,-1,Sanae Kikuta,POINTS,,-1,-1,,99KG,M,R1,1999,47,977.52,1000.0,998.81,978.71
786,335,1817,Rigan Machado,-1,Jerry Bolander,POINTS,,2,0,,99KG,M,4F,1999,48,998.81,1000.0,1020.89,977.92
410,342,278,Ricardo Almeida,1817,Rigan Machado,SUB,Choke,-1,-1,,99KG,M,3PLC,1999,49,975.52,1020.89,1005.4,991.01
779,326,591,Ricardo Liborio,-1,Luis Orlando,POINTS,,16,0,,88KG,M,4F,1999,50,976.0,1000.0,999.52,976.48
746,329,591,Ricardo Liborio,6518,Egan Inoue,POINTS,,3,0,,88KG,M,3PLC,1999,51,999.52,1027.23,1024.35,1002.4
890,314,88,Jean Jacques Machado,4302,Ryan Harvey,SUB,RNC,-1,-1,,77KG,M,R1,1999,52,1027.6,1000.0,1048.78,978.82
572,345,6167,Ricco Rodriguez,5463,Rocky Batastini,SUB,Armbar,-1,-1,,+99KG,M,R1,1999,53,1082.38,1000.0,1100.03,982.35
778,320,591,Ricardo Liborio,-1,Akihiro Gono,POINTS,,5,0,,88KG,M,R1,1999,54,1024.35,1000.0,1042.95,981.4
869,371,6167,Ricco Rodriguez,1696,Garth Taylor,POINTS,,-1,-1,,ABS,M,3RD,1999,55,1100.03,975.95,1115.15,960.83
892,317,88,Jean Jacques Machado,4302,Caol Uno,SUB,RNC,-1,-1,,77KG,M,F,1999,56,1048.78,1000.0,1074.51,974.27
966,352,-1,Sean Alvarez,6167,Ricco Rodriguez,POINTS,,-1,-1,,+99KG,M,4F,1999,57,977.56,1115.15,1007.84,1084.87
657,315,88,Jean Jacques Machado,4302,Micah Pittman,SUB,RNC,-1,-1,,77KG,M,4F,1999,58,1074.51,1000.0,1094.47,980.04
591,306,727,Alexandre de Freitas,5463,T. Hirono,SUB,Armbar,-1,-1,,66KG,M,R1,1999,59,1082.46,1000.0,1100.1,982.36
935,333,278,Ricardo Almeida,-1,Gao Hua,SUB,Submission,-1,-1,,99KG,M,R1,1999,60,1005.4,1000.0,1028.04,977.36
940,334,481,Saulo Ribeiro,-1,Mourat Ozov,SUB,Choke,-1,-1,,99KG,M,R1,1999,61,1043.41,1000.0,1063.55,979.86
906,322,52,Renzo Gracie,-1,Fan Yi,SUB,Submission,-1,-1,,88KG,M,R1,1999,62,1056.94,1000.0,1076.2,980.74
979,310,-1,Sasha Palvski,1023,Baret Yoshida,POINTS,,4,0,,66KG,M,4F,1999,63,977.08,1023.0,1001.97,998.11
1025,341,-1,Jeff Monson,481,Saulo Ribeiro,POINTS,,-1,-1,,99KG,M,F,1999,64,1044.48,1063.55,1071.91,1036.12
978,324,-1,Kareem Barkalev,486,Amaury Bitetti,POINTS,,2,0,,88KG,M,4F,1999,65,974.0,1020.0,998.9,995.1
977,361,1696,Garth Taylor,1023,Baret Yoshida,POINTS,,2,0,,ABS,M,R1,1999,66,960.83,998.11,982.97,975.97
237,425,88,Jean Jacques Machado,419,Leonardo Vieira,POINTS,,9,0,,77KG,M,SF,2000,67,1094.47,1000.0,1112.1,982.37
768,461,278,Ricardo Almeida,-1,Josh Barnet,SUB,Guillotine,-1,-1,,ABS,M,R1,2000,68,1028.04,1000.0,1049.19,978.85
909,448,93,Ricardo Arona,-1,Jeff Monson,POINTS,,-1,-1,,99KG,M,F,2000,69,1000.0,1071.91,1031.31,1040.6
675,435,720,Jorge Patino,-1,Egan Inoe,POINTS,,6,0,,88KG,M,4F,2000,70,1000.0,1000.0,1022.0,978.0
926,405,727,Alexandre de Freitas,-1,T. Yano,POINTS,,10,0,,66KG,M,R1,2000,71,1100.1,1000.0,1114.49,985.61
907,444,93,Ricardo Arona,-1,H. Kanehara,SUB,Kneebar,-1,-1,,99KG,M,R1,2000,72,1031.31,1000.0,1052.24,979.07
920,408,515,Royler Gracie,-1,J. Wakabayashi,POINTS,,22,0,,66KG,M,4F,2000,73,1094.27,1000.0,1110.44,983.83
931,419,88,Jean Jacques Machado,4302,Marcio Cromado,SUB,RNC,-1,-1,,77KG,M,R1,2000,74,1112.1,1000.0,1127.93,984.17
933,414,419,Leonardo Vieira,4302,Bob Schirmer,SUB,RNC,-1,-1,,77KG,M,R1,2000,75,982.37,1000.0,1006.54,975.83
674,431,720,Jorge Patino,-1,Karl Webber,POINTS,,15,0,,88KG,M,R1,2000,76,1022.0,1000.0,1040.74,981.26
276,420,419,Leonardo Vieira,81,Vitor Ribeiro,POINTS,,-1,-1,,77KG,M,4F,2000,77,1006.54,1000.0,1028.13,978.41
998,463,-1,Mark Kerr,278,Ricardo Almeida,POINTS,,3,0,,ABS,M,SF,2000,78,1000.0,1049.19,1027.38,1021.81
480,422,687,Marcio Feitosa,745,Carlos Machado,POINTS,,2,0,,77KG,M,4F,2000,79,1000.0,1000.0,1022.0,978.0
1019,445,-1,Jeff Monson,559,Rodrigo Medeiros,POINTS,,2,0,,99KG,M,4F,2000,80,1040.6,1000.0,1060.04,980.56
