match_id,winner_id,winner_name,loser_id,loser_name,win_type,submission,winner_points,loser_points,adv_pen,weight_class,sex,stage,year,event_id,winner_rating_start,loser_rating_start,winner_rating_end,loser_rating_end,winner_rd_end,loser_rd_end
325,6518,Egan Inoue,52,Renzo Gracie,POINTS,,2,0,,88KG,M,4F,1999,32,1500.0,1943.1146049807553,1661.167292223104,1850.7004627449403,266.71842137780607,193.20463140864837
369,1204,Roberto Traven,1696,Garth Taylor,POINTS,,5,0,,ABS,M,SF,1999,33,1500.0,1500.0,1835.6619796958653,1390.4351044075943,181.34881047172047,239.76578241027659
311,727,Alexandre de Freitas,-1,Sasha Palvski,SUB,Choke,-1,-1,,66KG,M,SF,1999,34,2027.3416585198331,1500.0,1966.3452261507261,1512.7128496545145,198.71363942871238,272.7469368421467
316,88,Jean Jacques Machado,4302,Hayato Sakurai,SUB,RNC,-1,-1,,77KG,M,SF,1999,35,1500.0,1500.0,2051.171041183553,1484.9503311921947,208.5603846438669,239.76578000524825
365,1204,Roberto Traven,-1,Luis Roberto,POINTS,,6,0,,ABS,M,4F,1999,36,1500.0,1500.0,1835.6619796958653,1305.2269234041933,181.34881047172047,290.3189666307005
303,515,Royler Gracie,3592,Juan Valles,SUB,Triangle,-1,-1,,66KG,M,R1,1999,37,1500.0,1500.0,2176.8209769312234,1288.995832064887,218.952041516998,290.3189677472295
370,1204,Roberto Traven,-1,Hayato Sakurai,POINTS,,2,0,,ABS,M,F,1999,38,1500.0,1500.0,1835.6619796958653,1484.9503311921947,181.34881047172047,239.76578000524825
339,481,Saulo Ribeiro,627,Murilo Bustamante,POINTS,,5,0,,99KG,M,SF,1999,39,1500.0,1500.0,1692.6584547797343,1426.3738619919611,208.56032193956233,239.76578106587573
308,515,Royler Gracie,952,Joao Roque,POINTS,,-1,-1,,66KG,M,4F,1999,40,1500.0,1500.0,2176.8209769312234,1305.2269234041933,218.952041516998,290.3189666307005
368,6438,Hayato Sakurai,6167,Ricco Rodriguez,SUB,Heel hook,-1,-1,,ABS,M,SF,1999,41,1500.0,1990.8604625088492,1484.9503311921947,1812.0411583355449,239.76578000524825,176.57132969437703
337,627,Murilo Bustamante,278,Ricardo Almeida,POINTS,,2,0,,99KG,M,4F,1999,42,1500.0,1500.0,1426.3738619919611,1674.282341541248,239.76578106587573,227.73540184505075
312,515,Royler Gracie,-1,Melchor M.,POINTS,,12,0,,66KG,M,SF,1999,43,1500.0,1500.0,2176.8209769312234,1272.7647403378485,218.952041516998,290.3189689519404
362,6167,Ricco Rodriguez,-1,Kim Mason,POINTS,,-1,-1,,ABS,M,R1,1999,44,1990.8604625088492,1500.0,1812.0411583355449,1458.3524200555096,176.57132969437703,316.5742247059268
338,481,Saulo Ribeiro,-1,Vernon White,POINTS,,16,0,,99KG,M,4F,1999,45,1500.0,1500.0,1692.6584547797343,1305.2269234041933,208.56032193956233,290.3189666307005
331,1204,Roberto Traven,-1,Jurie Rachel,SUB,Submission,-1,-1,,99KG,M,R1,1999,46,1500.0,1500.0,1835.6619796958653,1288.995832064887,181.34881047172047,290.3189677472295
330,1817,Rigan Machado,-1,Sanae Kikuta,POINTS,,-1,-1,,99KG,M,R1,1999,47,1500.0,1500.0,1429.2189641152127,1337.6891050238826,208.56031441055725,290.3189646747521
335,1817,Rigan Machado,-1,Jerry Bolander,POINTS,,2,0,,99KG,M,4F,1999,48,1500.0,1500.0,1429.2189641152127,1305.2269234041933,208.56031441055725,290.3189666307005
342,278,Ricardo Almeida,1817,Rigan Machado,SUB,Choke,-1,-1,,99KG,M,3PLC,1999,49,1500.0,1500.0,1674.282341541248,1429.2189641152127,227.73540184505075,208.56031441055725
326,591,Ricardo Liborio,-1,Luis Orlando,POINTS,,16,0,,88KG,M,4F,1999,50,1500.0,1500.0,1675.905543225484,1305.2269234041933,208.56032049132367,290.3189666307005
329,591,Ricardo Liborio,6518,Egan Inoue,POINTS,,3,0,,88KG,M,3PLC,1999,51,1500.0,1500.0,1675.905543225484,1661.167292223104,208.56032049132367,266.71842137780607
314,88,Jean Jacques Machado,4302,Ryan Harvey,SUB,RNC,-1,-1,,77KG,M,R1,1999,52,1500.0,1500.0,2051.171041183553,1288.995832064887,208.5603846438669,290.3189677472295
345,6167,Ricco Rodriguez,5463,Rocky Batastini,SUB,Armbar,-1,-1,,+99KG,M,R1,1999,53,1990.8604625088492,1500.0,1812.0411583355449,1386.1918468972335,176.57132969437703,316.5742264439791
