Fighter,Rating,RD
Gary Tonon,1512.6631458883337,119.43
Nicolas Renier,1505.6074888553514,223.77
Lachlan Giles,1504.7394695995567,171.83
Murilo Santana,1504.0866402569816,151.17
Matheus Gabriel Barros,1502.4831325456316,223.53
Pablo Mantovani,1500.8481542849486,171.53
Tito Ortiz,1500.0,253.4
Kamil Uminski,1499.0619547905621,231.82
Amanda Santana,1495.2024822245169,335.85
Paulo Pinto,1494.877133346002,298.11
Khazmat Stambulov,1491.403261731688,299.64
Carlos Barreto,1490.3279184407515,291.63
U. Zhakshylyk,1488.650151542491,339.85
Joshua Cisneros,1487.2234321675007,201.99
Hayato Sakurai,1484.9503311921947,239.77
Paul Schreiner,1483.3120392047258,201.9
David Avellan,1479.962594434658,148.07
Cassio Francis,1478.7982596663317,244.51
Ana Carolina,1476.821211645062,340.05
Elder Cruz,1475.5696373905537,233.18
G. Sotiropoulos,1475.36230677494,328.28
Flavio Almeida,1474.1851415081037,260.1
Owen Livesey,1471.803742056746,327.45
Chris Brennan,1471.5908860444717,326.07
Ricardo Vieira,1471.5584230486213,253.4
H. Sekine,1470.538714339523,325.02
Roman Dolidze,1470.1374504938965,324.12
Gabriel Rollo,1469.8144779804525,248.19
R. Mashurenko,1469.8100334279077,325.45
Josh Saunders,1466.8749325547842,320.16
Jeremy Skinner,1466.861828832642,235.48
Mateusz Juskowiak,1465.831835337799,319.97
Hector Lombard,1464.700566553676,290.35
Ross Nicholls,1462.7100628821402,285.28
Celso Vinicius,1462.148182550241,183.09
Gianni Grippo,1458.5442699326156,249.06
Kim Mason,1458.3524200555096,316.57
Genki Sudo,1458.3524188337674,316.57
DeAlonzio Jackson,1456.9096343697652,193.12
Roberto Jimenez,1455.3898759000554,241.31
Greger Forsel,1454.8547195292344,315.69
Edward Cummings,1454.8365534532736,240.79
Augusto Ferrari,1452.4461703575867,308.13
J. Urholin,1452.0442602040062,309.16
Doorwang Jeon,1451.9153794119409,306.82
Luke Costello,1450.2576386015849,307.66
Alexander Trans,1449.1941473885279,303.53
Rodrigo Dib,1448.983310023038,309.03
Sim Go,1448.3179492950962,304.11
Rigan Machado,1446.8299004947419,149.7
Dan Martinez,1445.5502058899592,301.02
Rustam Chsiev,1445.4690770288178,181.73
L. Papadopoulis,1443.2465735786989,299.31
Urija Faber,1441.0951902788524,300.82
Piotr Frechowicz,1440.9292965747156,299.76
Isaak Michel,1440.7824227839978,265.58
D. Marinakis,1440.0695788765063,296.82
Yuki Sasaki,1439.9521992961652,298.01
Kouji Kanechika,1438.2820120749554,294.7
Bruno Frazatto,1437.8625492193148,197.43
Marcelo Mafra,1437.5396061626716,236.77
Kassim Anan,1436.417333769229,296.66
Tom Bass,1436.417333769229,296.66
Anthony Perosh,1436.0241321003875,293.99
Hudson Taylor,1435.8698494522696,292.92
Sotaro Yamada,1435.46902369755,292.38
Kamil Huminski,1435.3167839307478,296.22
Mike Whitehead,1434.7540239846846,299.22
Yushin Okami,1434.6843668381605,300.52
Eduardo Telles,1433.5836582165316,227.57
Stefanie Egger,1430.7378264155973,340.05
Aaron Johnson,1430.0996127667017,249.59
Damon Ramos,1430.0618496195098,297.04
Kari Petola,1428.036597284873,286.22
J. Wakabayashi,1426.8721689041495,333.38
Murilo Bustamante,1426.3738619919611,239.77
K. Hirate,1426.096041812564,289.56
Eric Dahlberg,1425.0203288579057,292.71
Lucas Leite,1421.0859402931635,234.79
R. Babalu,1419.0277790819687,325.45
Dan Manasoiu,1417.8880645780255,297.83
Liu Wen,1416.7313014992335,288.15
Kyle Boehm,1414.8336586206021,240.4
Kenta Iwamoto,1413.2387018101913,288.23
James Puopolo,1408.3561975317202,249.32
Kyle Griffin,1408.1059770102509,221.34
Sasha Plavski,1407.2922424621306,313.62
Charles Pearson,1406.0853441128152,346.3
Oskar Piechota,1405.867429604825,216.36
Roberto Magalhaes,1405.8146331974856,221.31
Mason Fowler,1405.510474592829,200.27
Jon Blank,1405.423648848468,171.4
R. Anderson,1404.7649055902716,310.65
Martin Brown,1404.2134913297114,342.4
Y. Takahito,1403.509669347302,343.95
Jason Brudvik,1402.2534266993769,284.68
Heikki Jussila,1401.48081949861,346.57
Fabricio Andrey,1398.5009408767785,231.31
Rodney Ellis,1398.2076632909068,341.45
Ben Hodgkinson,1397.5222793831933,336.24
Adam Wardzinski,1397.3630033917902,253.4
Tezekbaev Rasul,1396.5252713948832,336.0
Renato Forasieppi Canuto,1396.2225942687646,189.91
Mario Miranda,1395.9032048751403,335.28
George Sotiropoulos,1395.9032048751403,335.28
Elliot Marshal,1394.947043582035,333.53
Davis Heart,1393.2771744403647,333.45
Marshurenko,1391.8850009621056,272.84
A. Cacareco,1391.6871471335467,131.7
Marcio Cromado,1391.660300237059,323.06
Chris Weidman,1390.9968751739552,296.66
Garth Taylor,1390.4351044075943,239.77
T. Hirono,1390.390939036042,320.52
Israel Albuquerque,1390.2446874031548,298.07
Amaury Bitetti,1390.0834542400453,256.3
Andreas Olsen,1389.5403396436543,325.18
Marcos Oliveira,1389.0604715189004,293.81
Yuta Shimada,1388.8188082324211,272.93
Ilir Latifi,1388.6680867518357,266.16
