Fighter,Elo Rating
Marcos Oliveira,986.07
Sasha Plavski,986.05
Josh Saunders,986.02
Kouji Kanechika,985.87
Rogent Lorent,985.83
Amanda Alequin / Santana,985.83
A. Hamlet,985.81
Roman Dolidze,985.81
Roberto Jimenez,985.74
Elder Cruz,985.72
Tomasz Janiszewski,985.66
Urija Faber,985.65
Carina Santi,985.64
Elliot Marshal,985.61
J. Urholin,985.55
Paulo Pinto,985.55
Dan Martinez,985.54
Damon Ramos,985.52
Liu Wen,985.51
Kouhei Yasumi,985.38
Chris Brennan,985.28
H. Sekine,985.28
Chris Weidman,985.25
P. Ardilla,985.22
Owen Livesey,985.17
R. Mashurenko,985.15
Mateusz Juskowiak,985.14
Murilo Bustamante,985.12
K. Hirate,984.96
Tom Bass,984.9
Kamil Uminski,984.9
Robert Sulski,984.77
R. Anderson,984.72
Alison Tremblay,984.65
Jessica Flowers,984.62
Luke Costello,984.57
J. Pietlainen,984.53
Eric Dahlberg,984.49
Anthony Perosh,984.49
D. Hemmings,984.49
Genki Sudo,984.48
Lee Hyoung,984.46
Andreas Olsen,984.4
Serguei Onishuk,984.37
David Bielkheden,984.28
Marcio Cromado,984.17
Mario Rinaldi,984.07
Ezra Lenon,984.07
Fabio Gurgel,983.93
Ashley Williams,983.93
J. Wakabayashi,983.83
Rodrigo Artilheiro,983.77
Kim Mason,983.76
Y. Yatso,983.65
Mikey Burnet,983.62
Jose Junior,983.53
F. Vasconcelos,983.5
Y. Kohsaka,983.36
James Puopolo,983.35
Rodrigo Dib,983.31
Eddie Sanchez,983.3
Davion Peterson,983.23
Greger Forsel,983.11
Hidemi Mihara,983.03
Frank Trigg,983.0
Jesse Urholin,983.0
Valdir Araujo Junior,983.0
Devhonte Johnson,983.0
Cole Abate,983.0
Kenta Iwamoto,982.98
Garth Taylor,982.97
T. Kosaka,982.96
Roberto Magalhaes,982.95
Yushin Okami,982.83
Kiuma Kunioku,982.75
Joao Costa,982.74
Kaynan D.,982.68
Jason Lees,982.57
Rida Haisam,982.42
Rodrigo Caporal,982.37
T. Hirono,982.36
Rocky Batastini,982.35
Akira Shoji,982.35
Darrel Moodley,982.33
Isaque Bahiense,982.28
Reese Andy,982.24
Tetsu Suzuko,982.19
Rodrigo Modrias,982.15
Bruno Chavez,982.01
Yuta Shimada,982.0
Joaquim Hansen,981.99
Talita Treta,981.98
Elvis Sinosic,981.93
Joey Gilbert,981.84
Ryan Gracie,981.81
Ricardo Alves,981.74
Roan Jucao,981.74
Nicholas Renier,981.74
Enson Inoe,981.65
Jayson Patino,981.62
Kareem Barkalev,981.6
Adrian Serrano,981.59
Yousef Elzien,981.59
Peter Angerer,981.59
Joao Roque,981.58
Andy Wang,981.58
M. Szczecinski,981.56
Y. Kinishi,981.54
Rob Di,981.5
Ben Askren,981.39
Leonardo Saggioro,981.38
Miodrag Petkovic,981.34
Joe Guilbert,981.3
Yurika Nakakura,981.29
Erik Paulson,981.28
Karl Webber,981.26
Yukissyu Ozawa,981.24
Jurie Rachel,981.23
Joe Gilbert,981.18
Marshurenko,981.16
Mraz Avdoyan,981.15
Melchor M.,981.13
Bia Mesquita,981.08
Hiroshi Nakamura,981.04
Eldar Rafigaev,981.04
Andy Reese,981.03
Gavin Kulper,981.02
Tammy Griego,981.02
Jorge Santiago,980.99
Take Hanai,980.94
Renan Sancar,980.93
Talita Alencar,980.88
Toshiyuki Oyama,980.85
Dave Menne,980.79
Fan Yi,980.74
Sekine Hideki,980.71
Tim Carpenter,980.67
Osman Kasimov,980.64
Tamura,980.62
Tetsu Hadario,980.52
I. Praporshchikov,980.5
C. Jones,980.44
Perttu Tepponen,980.42
M. Van,980.39
Elisabeth Clay,980.35
Jason Manly,980.32
Servio Tulio,980.23
Tom Lawlor,980.22
David Marinakis,980.2
Yoshiyuki Yoshida,980.13
Gabriel Almeida,980.07
Micah Pittman,980.04
