Fighter,Peak Elo
Ben Hodgkinson,978.52
Satori Kitaoka,978.52
Youngnam Noh,978.43
Otto Olsen,978.42
Simon Siasi,978.39
Denis Roberts,978.36
Yuji Arai,978.34
Charles Pearson,978.32
Kouhei Yasumi,978.32
Alian Drueco,978.32
Daniel Hortegas,978.32
Y. Ozawa,978.32
Fellipe Andrew,978.32
Pete Williams,978.2
Thomas Halpin,978.15
Gabriel Marangoni,978.13
M. Van,978.12
Eduardo Rios,978.12
Magid Hage,978.12
Jason Brudvik,977.75
I. Praporshchikov,977.69
Miodrag Petkovic,977.67
John Combs,977.51
George St,977.27
Yoshitomi Mishima,977.18
Halm Gocalli,977.16
Fan Yi,977.13
Alexandre Vieira,977.09
Rodrigo Artilheiro,977.08
William Tackett,977.0
Amanda Leve,977.0
Jason Ramsterrer,977.0
Marcio Cromado,977.0
Asadulaev Surkhay,977.0
T. Yano,977.0
D. Hemmings,977.0
Robert Sulski,977.0
Adam Sachnoff,977.0
Jason White,977.0
Adele Fornarino,977.0
Tobias G,977.0
Jayson Patino,977.0
Kaynan D.,977.0
Mateusz Garmot,977.0
Eoghan OFlanagan,977.0
Yuta Sasaki,977.0
Takanori Gomi,977.0
R. Alvarenga,977.0
Giovanna Jara,977.0
Mark Ramos,977.0
Nicollas Renier,977.0
Alexander Savko,977.0
Juskowiak Mateusz,977.0
Jon Hansen,977.0
Abdulaev Ruslan,977.0
A. Zhanpeisov,977.0
Osman Kasimov,977.0
Andy Wang,977.0
Heikki Jussila,977.0
Young-Ahm,977.0
Ben Dyson,977.0
Igor Praporschchikov,977.0
Yuki Ozawa,976.89
Kethe Engen,976.87
Kim Dong,976.83
Nathan Marquardt,976.78
Darren Andy,976.62
Daniel Strauss,976.57
Toshiyuki Oyama,976.3
Julia Maele,975.85
Antoine Joude,975.76
Cristiano Lazzarini,975.68
Takefuni Hanai,975.57
Davis Heart,975.48
Alexandre Jesus,975.48
C. Jones,975.19
Gao Hua,975.14
Akira Soji,974.97
Andy Varela,974.87
Bob Schirmer,974.83
Perttu Terpponnen,974.65
J. Pietlainen,974.63
Tamura,974.62
Livia Giles,974.16
Rodrigo Minotauro,973.99
Mourat Ozov,973.86
Nieman Gracie,973.46
Davion Peterson,973.41
Edwin Najmi,972.77
K. Toida,972.21
Roger Neff,972.2
