index,match_id,winner_id,winner_name,loser_id,loser_name,win_type,submission,winner_points,loser_points,adv_pen,weight_class,sex,stage,year,event_id,winner_elo_start,loser_elo_start,winner_elo_end,loser_elo_end
376,21866,12003,Tye Ruotolo,174,Bruno Frazatto,POINTS,,2,0,,66KG,M,R1,2019,652,1001.06,1018.51,1022.06,997.51
375,3220,179,Rafael Mendes,174,Bruno Frazatto,POINTS,,6,0,,66KG,M,R1,2011,653,1115.47,997.51,1128.93,984.05
374,35015,7539,Renato Forasieppi Canuto,11735,Nicky Ryan,POINTS,,5,0,,77KG,M,R1,2022,654,1000.0,978.23,1018.75,959.48
373,13932,984,Marcus Almeida,84,Alexandre Ribeiro,POINTS,,3,0,,ABS,M,4F,2017,655,1110.57,1217.87,1136.56,1191.88
372,518,687,Marcio Feitosa,1858,Matt Serra,POINTS,,-1,-1,,77KG,M,F,2001,656,1090.48,1050.82,1108.21,1033.09
371,5005,788,Kron Gracie,2107,Otavio Sousa,SUB,Guillotine,-1,-1,,77KG,M,F,2013,657,1051.67,1044.59,1074.2,1022.06
370,5003,788,Kron Gracie,967,Jonathan Torres,SUB,Armbar,-1,-1,,77KG,M,SF,2013,658,1074.2,1077.84,1097.44,1054.6
369,35066,6550,Gordon Ryan,10159,Victor Hugo,POINTS,,8,0,,+99KG,M,4F,2022,659,1097.14,1026.08,1113.11,1010.11
368,21887,6550,Gordon Ryan,9180,Vinicius Ferreira,SUB,Choke,-1,-1,,99KG,M,F,2019,660,1113.11,1026.63,1130.5,1009.24
367,13889,6550,Gordon Ryan,84,Alexandre Ribeiro,DECISION,,-1,-1,,88KG,M,SF,2017,661,1130.5,1191.88,1150.47,1171.91
366,7954,446,Gilbert Burns,2107,Otavio Sousa,POINTS,,6,0,,77KG,M,3RD,2015,662,1020.0,1022.06,1040.12,1001.94
365,35006,9051,Gabriel Sousa,10840,Diego Oliveira,DECISION,,-1,-1,,66KG,M,SF,2022,663,1000.0,1000.0,1017.0,983.0
364,35004,10840,Diego Oliveira,9031,Kennedy Maciel,SUB,Z Lock,-1,-1,,66KG,M,4F,2022,664,983.0,1043.69,1009.98,1016.71
363,1192,112,Demian Maia,481,Saulo Ribeiro,POINTS,,0,0,PEN,88KG,M,SF,2005,665,1072.83,1188.35,1099.25,1161.93
362,21877,7535,Bianca Basilio,9404,Ffion Davies,SUB,Toe hold,-1,-1,,60KG,F,F,2019,666,1057.09,1081.63,1081.71,1057.01
361,2307,422,Braulio Estima,84,Alexandre Ribeiro,POINTS,,-1,-1,,ABS,M,F,2009,667,1070.02,1171.91,1095.72,1146.21
360,779,81,Vitor Ribeiro,919,Pablo Popovitch,POINTS,,-1,-1,,77KG,M,4F,2003,668,1059.29,1144.76,1084.11,1119.94
359,7986,733,Vinicius Magalhaes,5649,Gary Tonon,POINTS,,0,0,PEN,ABS,M,R1,2015,669,1209.27,1061.93,1221.26,1049.94
358,7907,733,Vinicius Magalhaes,2403,Joao Gabriel Rocha,SUB,Heel hook,-1,-1,,+99KG,M,3RD,2015,670,1221.26,1051.56,1233.84,1038.98
357,3299,733,Vinicius Magalhaes,573,Fabricio Werdum,POINTS,,2,0,,+99KG,M,F,2011,671,1233.84,1164.9,1249.92,1148.82
356,2277,733,Vinicius Magalhaes,9,Marcio Cruz,SUB,Armbar,-1,-1,,99KG,M,4F,2009,672,1249.92,1145.79,1266.23,1129.48
355,35044,9180,Vinicius Ferreira,7502,Paul Ardila-Ibarra,POINTS,,0,0,PEN,99KG,M,R1,2022,673,1009.24,980.4,1027.58,962.06
354,21886,9180,Vinicius Ferreira,733,Vinicius Magalhaes,POINTS,,2,0,,99KG,M,SF,2019,674,1027.58,1266.23,1059.5,1234.31
353,21814,10159,Victor Hugo,5861,Jared Dopp,POINTS,,4,0,,+99KG,M,R1,2019,675,1010.11,1063.5,1033.16,1040.45
352,3307,1617,Victor Estima,644,Joao Assis,POINTS,,2,0,,ABS,M,R1,2011,676,1010.69,1168.54,1039.2,1140.03
351,35037,8394,Vagner Rocha,11991,Pedro Marinho,DECISION,,-1,-1,,88KG,M,4F,2022,677,1104.21,995.68,1116.07,983.82
350,21860,8394,Vagner Rocha,428,Celso Vinicius,DECISION,,-1,-1,,77KG,M,4F,2019,678,1116.07,1000.0,1127.59,988.48
349,13906,8394,Vagner Rocha,5649,Gary Tonon,POINTS,,2,0,,77KG,M,3RD,2017,679,1127.59,1049.94,1143.19,1034.34
348,13901,8394,Vagner Rocha,2226,DeAlonzio Jackson,DECISION,,-1,-1,,77KG,M,4F,2017,680,1143.19,982.23,1152.83,972.59
347,7971,147,Rubens Charles,174,Bruno Frazatto,POINTS,,3,0,,66KG,M,F,2015,681,1156.92,984.05,1167.72,973.25
346,13920,147,Rubens Charles,2999,Paulo Miyao,POINTS,,0,0,,66KG,M,SF,2017,682,1167.72,1057.77,1181.59,1043.9
345,1705,477,Tarsis Humpreys,320,Romulo Barral,SUB,Footlock,-1,-1,,88KG,M,3PLC,2007,683,1052.18,1079.47,1076.98,1054.67
344,3310,138,Sergio Moraes,387,Antonio Braga Neto,SUB,Footlock,-1,-1,,ABS,M,R1,2011,684,1020.0,1005.63,1042.05,983.58
343,2289,481,Saulo Ribeiro,320,Romulo Barral,POINTS,,-1,-1,,+99KG,M,4F,2009,685,1161.93,1054.67,1175.94,1040.66
342,1189,481,Saulo Ribeiro,720,Jorge Patino,POINTS,,10,0,,88KG,M,4F,2005,686,1175.94,1056.62,1189.33,1043.23
341,796,481,Saulo Ribeiro,4965,David Terrell,DECISION,,-1,-1,,88KG,M,SF,2003,687,1189.33,1038.85,1199.4,1028.78
340,530,481,Saulo Ribeiro,12,Antonio Schembri,POINTS,,-1,-1,,88KG,M,SF,2001,688,1199.4,1061.72,1211.86,1049.26
339,440,481,Saulo Ribeiro,591,Ricardo Liborio,POINTS,,-1,-1,,88KG,M,F,2000,689,1211.86,1069.58,1224.1,1057.34
338,34995,12751,Sam McNally,5649,Gary Tonon,POINTS,,3,0,,66KG,M,R1,2022,690,1000.0,1034.34,1021.97,1012.37
337,7969,147,Rubens Charles,188,Augusto Mendes,DECISION,,-1,-1,,66KG,M,SF,2015,691,1181.59,1038.39,1191.95,1028.03
336,4983,147,Rubens Charles,4163,Marcio Andre Barbosa Junior,POINTS,,3,0,,66KG,M,4F,2013,692,1191.95,1020.0,1202.79,1009.16
335,3280,147,Rubens Charles,610,Jeff Glover,POINTS,,6,0,,66KG,M,SF,2011,693,1202.79,1089.99,1216.52,1076.26
334,3262,147,Rubens Charles,1023,Baret Yoshida,POINTS,,-1,-1,,66KG,M,4F,2011,694,1216.52,1068.2,1228.47,1056.25
333,2241,147,Rubens Charles,177,Rany Yahya,SUB,Kimura,-1,-1,,66KG,M,SF,2009,695,1228.47,1113.08,1244.1,1097.45
332,773,515,Royler Gracie,727,Alexandre de Freitas,POINTS,,8,0,,66KG,M,3PLC,2003,696,1197.47,1190.96,1217.1,1171.33
331,502,515,Royler Gracie,195,Robson Moura,POINTS,,2,0,,66KG,M,SF,2001,697,1217.1,1036.16,1227.53,1025.73
330,313,515,Royler Gracie,727,Alexandre de Freitas,SUB,Leg lock,-1,-1,,66KG,M,F,1999,698,1227.53,1171.33,1246.84,1152.02
329,3284,431,Rousimar Palhares,576,Rafael Lovato Jr,SUB,Heel hook,-1,-1,,88KG,M,SF,2011,699,1048.84,1172.19,1079.68,1141.35
328,5017,320,Romulo Barral,875,Lucas Leite,POINTS,,-1,-1,,88KG,M,4F,2013,700,1040.66,1020.0,1059.47,1001.19
327,1233,505,Roger Gracie,84,Alexandre Ribeiro,SUB,RNC,-1,-1,,ABS,M,SF,2005,701,1133.08,1146.21,1156.95,1122.34
326,808,505,Roger Gracie,84,Alexandre Ribeiro,POINTS,,3,0,,99KG,M,3PLC,2003,702,1156.95,1122.34,1174.96,1104.33
325,3261,195,Robson Moura,725,Ryan Hall,POINTS,,3,0,,66KG,M,4F,2011,703,1025.73,1038.85,1046.48,1018.1
324,35098,224,Roberto Abreu,10159,Victor Hugo,POINTS,,2,0,,ABS,M,4F,2022,704,1176.01,1033.16,1188.22,1020.95
323,21867,10357,Richard Alarcon,4248,Gianni Grippo,POINTS,,4,0,,66KG,M,R1,2019,705,981.32,987.87,1001.7,967.49
322,565,93,Ricardo Arona,481,Saulo Ribeiro,POINTS,,2,0,,ABS,M,4F,2001,706,1167.86,1224.1,1191.07,1200.89
321,438,591,Ricardo Liborio,720,Jorge Patino,POINTS,,-1,-1,,88KG,M,SF,2000,707,1057.34,1043.23,1076.53,1024.04
320,434,591,Ricardo Liborio,550,Roberto Magalhaes,POINTS,,9,0,,88KG,M,4F,2000,708,1076.53,1020.0,1093.3,1003.23
319,570,93,Ricardo Arona,88,Jean Jacques Machado,POINTS,,3,0,,ABS,M,F,2001,709,1191.07,1138.57,1208.07,1121.57
318,546,93,Ricardo Arona,278,Ricardo Almeida,POINTS,,-1,-1,,99KG,M,F,2001,710,1208.07,1111.79,1222.67,1097.19
317,543,278,Ricardo Almeida,1369,Dean Lister,POINTS,,3,0,,99KG,M,4F,2001,711,1097.19,1162.92,1120.93,1139.18
316,465,278,Ricardo Almeida,559,Rodrigo Medeiros,POINTS,,5,0,,ABS,M,3PLC,2000,712,1120.93,978.1,1133.14,965.89
315,462,278,Ricardo Almeida,81,Vitor Ribeiro,SUB,Kneebar,-1,-1,,ABS,M,4F,2000,713,1133.14,1084.11,1152.92,1064.33
314,426,52,Renzo Gracie,88,Jean Jacques Machado,POINTS,,-1,-1,,77KG,M,F,2000,714,1134.3,1121.57,1153.57,1102.3
313,424,52,Renzo Gracie,687,Marcio Feitosa,SUB,Guillotine,-1,-1,,77KG,M,SF,2000,715,1153.57,1108.21,1173.58,1088.2
312,2236,177,Rany Yahya,610,Jeff Glover,POINTS,,-1,-1,,66KG,M,4F,2009,716,1097.45,1076.26,1116.23,1057.48
311,1681,177,Rany Yahya,419,Leonardo Vieira,SUB,RNC,-1,-1,,66KG,M,F,2007,717,1116.23,1155.16,1141.8,1129.59
310,1680,177,Rany Yahya,1023,Baret Yoshida,POINTS,,-1,-1,,66KG,M,SF,2007,718,1141.8,1056.25,1156.97,1041.08
309,1166,177,Rany Yahya,687,Marcio Feitosa,POINTS,,-1,-1,,66KG,M,SF,2005,719,1156.97,1088.2,1173.06,1072.11
308,35085,11656,Rafaela Guedes,10885,Kendall Reusing,POINTS,,-1,-1,,+60KG,F,SF,2022,720,980.0,1023.0,1002.46,1000.54
307,35084,11656,Rafaela Guedes,13095,Eleftheria Christodoulou,POINTS,,3,0,,+60KG,F,4F,2022,721,1002.46,1000.0,1022.32,980.14
306,13869,576,Rafael Lovato Jr,5842,Mahamed Aly,POINTS,,3,0,,99KG,M,4F,2017,722,1141.35,1058.27,1156.66,1042.96
305,5018,576,Rafael Lovato Jr,919,Pablo Popovitch,POINTS,,-1,-1,,88KG,M,SF,2013,723,1156.66,1119.94,1174.55,1102.05
304,35018,9344,Paul Schreiner,967,Jonathan Torres,POINTS,,4,0,,77KG,M,4F,2022,724,1000.0,1054.6,1023.12,1031.48
303,3317,919,Pablo Popovitch,84,Alexandre Ribeiro,DECISION,,-1,-1,,ABS,M,SF,2011,725,1102.05,1104.33,1119.16,1087.22
302,35095,7507,Nicholas Meregali,9180,Vinicius Ferreira,POINTS,,-1,-1,,ABS,M,8F,2022,726,1000.0,1059.5,1023.39,1036.11
301,1234,16,Marcelo Garcia,84,Alexandre Ribeiro,SUB,RNC,-1,-1,,ABS,M,3PLC,2005,727,1267.64,1087.22,1279.67,1075.19
300,35022,12122,Micael Galvao,8116,Dante Leon,POINTS,,2,0,,77KG,M,SF,2022,728,995.68,1024.44,1017.33,1002.79
299,35021,12122,Micael Galvao,7539,Renato Forasieppi Canuto,SUB,Armbar,-1,-1,,77KG,M,4F,2022,729,1017.33,1018.75,1040.42,995.66
298,517,1858,Matt Serra,292,Leonardo Santos,SUB,RNC,-1,-1,,77KG,M,SF,2001,730,1033.09,1026.78,1055.67,1004.2
297,35031,11789,Mason Fowler,9793,Alexandre Jesus,SUB,Guillotine,-1,-1,,88KG,M,R1,2022,731,977.0,1000.0,1001.52,975.48
296,21841,11789,Mason Fowler,10501,Valdir Araujo Junior,DECISION,,-1,-1,,88KG,M,R1,2019,732,1001.52,1000.0,1018.45,983.07
295,822,9,Marcio Cruz,16,Marcelo Garcia,POINTS,,6,0,,ABS,M,4F,2003,733,1129.48,1279.67,1157.62,1251.53
294,815,9,Marcio Cruz,573,Fabricio Werdum,POINTS,,-1,-1,,+99KG,M,F,2003,734,1157.62,1148.82,1177.11,1129.33
293,560,9,Marcio Cruz,1204,Roberto Traven,POINTS,,-1,-1,,ABS,M,R1,2001,735,1177.11,1079.58,1191.64,1065.05
292,556,9,Marcio Cruz,6167,Ricco Rodriguez,SUB,Armbar,-1,-1,,+99KG,M,3RD,2001,736,1191.64,1174.94,1213.54,1153.04
291,3282,16,Marcelo Garcia,788,Kron Gracie,POINTS,,2,0,,77KG,M,SF,2011,737,1251.53,1097.44,1263.2,1085.77
290,1692,16,Marcelo Garcia,919,Pablo Popovitch,SUB,North south choke,-1,-1,,77KG,M,F,2007,738,1263.2,1119.16,1277.18,1105.18
289,1222,16,Marcelo Garcia,6167,Ricco Rodriguez,SUB,Heel hook,-1,-1,,ABS,M,R1,2005,739,1277.18,1153.04,1292.29,1137.93
288,1184,16,Marcelo Garcia,919,Pablo Popovitch,SUB,Wristlock,-1,-1,,77KG,M,F,2005,740,1292.29,1105.18,1303.98,1093.49
287,1182,16,Marcelo Garcia,292,Leonardo Santos,POINTS,,0,0,PEN,77KG,M,SF,2005,741,1303.98,1004.2,1310.03,998.15
286,782,16,Marcelo Garcia,81,Vitor Ribeiro,SUB,RNC,-1,-1,,77KG,M,SF,2003,742,1310.03,1064.33,1319.03,1055.33
285,781,16,Marcelo Garcia,52,Renzo Gracie,POINTS,,9,0,,77KG,M,4F,2003,743,1319.03,1173.58,1331.11,1161.5
284,5001,419,Leonardo Vieira,4328,AJ Agazarm,DECISION,,-1,-1,,77KG,M,4F,2013,744,1129.59,974.16,1139.45,964.3
283,3267,419,Leonardo Vieira,967,Jonathan Torres,POINTS,,2,0,,77KG,M,4F,2011,745,1139.45,1031.48,1153.43,1017.5
282,2239,419,Leonardo Vieira,725,Ryan Hall,SUB,Guillotine,-1,-1,,66KG,M,4F,2009,746,1153.43,1018.1,1167.9,1003.63
281,3283,419,Leonardo Vieira,410,Claudio Calasans,POINTS,,3,0,,77KG,M,SF,2011,747,1167.9,1027.8,1180.25,1015.45
280,1678,419,Leonardo Vieira,610,Jeff Glover,POINTS,,-1,-1,,66KG,M,4F,2007,748,1180.25,1057.48,1193.46,1044.27
279,1168,419,Leonardo Vieira,177,Rany Yahya,POINTS,,6,0,,66KG,M,F,2005,749,1193.46,1173.06,1212.29,1154.23
278,772,419,Leonardo Vieira,1023,Baret Yoshida,POINTS,,6,0,,66KG,M,F,2003,750,1212.29,1041.08,1223.16,1030.21
277,766,419,Leonardo Vieira,177,Rany Yahya,POINTS,,9,0,,66KG,M,4F,2003,751,1223.16,1154.23,1239.24,1138.15
276,420,419,Leonardo Vieira,81,Vitor Ribeiro,POINTS,,-1,-1,,77KG,M,4F,2000,752,1239.24,1055.33,1249.54,1045.03
275,519,292,Leonardo Santos,10579,Rodrigo Gracie,POINTS,,2,0,,77KG,M,3PLC,2001,753,998.15,1111.78,1024.47,1085.46
274,513,292,Leonardo Santos,419,Leonardo Vieira,POINTS,,3,0,,77KG,M,4F,2001,754,1024.47,1249.54,1055.87,1218.14
273,21914,8682,Lachlan Giles,5842,Mahamed Aly,SUB,Inside heel hook,-1,-1,,ABS,M,3RD,2019,755,1004.82,1042.96,1030.33,1017.45
272,21905,8682,Lachlan Giles,8974,Kaynan Duarte,SUB,Inside heel hook,-1,-1,,ABS,M,R1,2019,756,1030.33,1043.66,1054.21,1019.78
